1,125
2,72
3,71
4,85
5,55
6,31
7,29
8,31
9,55
10,64
11,103
12,153
13,166
14,174
15,187
16,162
17,188
18,187
19,124
20,108
21,112
22,98
23,80
24,81
25,117
26,148
27,165
28,156
29,155
30,128
31,115
32,125
33,114
34,78
35,50
36,53
37,87
38,108
39,121
40,128
41,140
42,172
43,133
44,132
45,134
46,135
47,141
48,146
49,155
50,136
51,153
52,163
53,161
54,181
55,177
56,164
57,145
58,151
59,118
60,127
61,134
62,111
63,112
64,106
65,103
66,112
67,112
68,119
69,120
70,91
71,86
72,82
73,67
74,56
75,43
76,29
77,37
78,47
79,95
80,108
81,124
82,146
83,147
84,130
85,110
86,110
87,101
88,106
89,93
90,83
91,78
92,87
93,97
94,107
95,125
96,122
97,140
98,177
99,178
100,174
101,156
102,141
103,116
104,110
105,92
106,83
107,81
108,68
109,89
110,71
111,65
112,64
113,67
114,67
115,69
116,83
117,86
118,98
119,114
120,119
121,121
122,115
123,133
124,112
125,119
126,107
127,100
128,83
129,84
130,131
131,127
132,120
133,123
134,134
135,135
136,142
137,177
138,161
139,154
140,165
141,126
142,120
143,118
144,118
145,104
146,117
147,115
148,110
149,128
150,125
151,130
152,102
153,80
154,60
155,53
156,45
157,49
158,45
159,62
160,66
161,81
162,107
163,126
164,149
165,153
166,154
167,150
168,138
169,120
170,101
171,87
172,112
173,102
174,92
175,109
176,118
177,113
178,107
179,108
180,118
181,132
182,150
183,171
184,162
185,186
186,175
187,171
188,126
189,109
190,94
191,86
192,82
193,79
194,71
195,67
196,60
197,59
198,58
199,56
200,81
201,106
202,111
203,102
204,109
205,109
206,131
207,150
208,151
209,155
210,162
211,120
212,84
213,75
214,77
215,62
216,69
217,66
218,71
219,90
220,87
221,77
222,83
223,89
224,85
225,81
226,103
227,124
228,105
229,98
230,110
231,98
232,103
233,114
234,109
235,107
236,125
237,129
238,128
239,102
240,116
241,126
242,127
243,105
244,101
245,108
246,115
247,123
248,137
249,153
250,147
251,145
252,121
253,103
254,93
255,75
256,80
257,79
258,78
259,70
260,77
261,86
262,107
263,128
264,131
265,118
266,117
267,137
268,117
269,114
270,93
271,89
272,89
273,68
274,64
275,62
276,55
277,69
278,63
279,63
280,75
281,80
282,89
283,95
284,92
285,101
286,94
287,93
288,85
289,102
290,110
291,90
292,98
293,85
294,75
295,90
296,107
297,131
298,128
299,146
300,156
301,146
302,151
303,133
304,114
305,79
306,86
307,77
308,83
309,90
310,111
311,102
312,66
313,81
314,88
315,84
316,89
317,116
318,141
319,165
320,166
321,168
322,189
323,187
324,155
325,114
326,118
327,98
328,71
329,68
330,70
331,72
332,78
333,100
334,114
335,98
336,89
337,80
338,84
339,100
340,112
341,111
342,119
343,114
344,128
345,129
346,103
347,88
348,80
349,81
350,77
351,59
352,80
353,108
354,115
355,115
356,107
357,93
358,82
359,68
360,49
361,47
362,47
363,68
364,93
365,78
