Kandilli Observatory	
                            FLARE INDEX OF SOLAR ACTIVITY
                                 SOUTHERN HEMISPHERE
	2010
-----------------------------------------------------------------------------------------------------   	
Day     Jan      Feb    Mar     Apr    May      Jun     Jul     Aug     Sep     Oct     Nov     Dec     	
=====================================================================================================   	
1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
2	4,23	0,00	0,00	0,00	0,00	1,01	0,00	0,00	0,00	0,00	0,00	0,00	
3	1,77	0,00	0,00	0,00	0,00	0,07	0,00	0,00	0,00	0,00	0,00	0,00	
4	0,17	0,00	0,09	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
5	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,52	0,00	

6	0,00	0,00	0,07	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,19	0,00	
7	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,82	0,00	
8	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
9	0,00	0,00	0,00	0,00	0,00	0,48	0,00	0,00	0,00	0,00	0,00	0,00	
10	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,40	0,94	0,00	

11	0,00	0,00	0,00	0,00	0,19	0,00	0,00	0,00	0,00	0,00	1,84	0,00	
12	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,19	0,00	
13	0,00	0,00	0,00	0,00	0,00	0,47	0,00	0,00	0,00	0,00	0,46	0,00	
14	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,26	0,00	0,00	
15	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,46	0,00	

16	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,93	0,00	0,00	
17	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,15	1,80	0,00	0,00	
18	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
19	5,61	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,42	0,00	0,00	
20	1,57	0,00	0,00	0,00	0,00	0,00	1,96	0,00	0,00	0,49	0,00	0,00	

21	0,41	0,00	0,00	0,00	0,00	0,00	6,21	0,00	0,00	0,00	0,00	0,00	
22	0,00	0,00	0,00	0,00	0,25	0,00	0,72	0,00	0,00	0,00	0,00	0,00	
23	0,00	0,00	0,00	0,00	0,00	0,00	0,78	0,00	0,00	0,35	0,00	0,00	
24	0,00	0,00	0,00	0,00	0,00	0,00	0,31	0,00	0,00	0,00	0,11	0,00	
25	0,00	0,00	0,00	0,00	0,23	0,00	0,00	0,00	0,00	0,00	0,00	0,00	

26	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,30	0,00	0,00	0,00	0,00	
27	0,00	0,00	0,00	0,00	0,00	0,00	1,71	0,00	0,00	0,00	0,00	0,00	
28	0,00	0,00	0,00	0,00	0,00	0,00	0,31	0,00	0,00	0,00	0,00	0,00	
29	0,00		0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
30	0,00		0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
31	0,00		0,00		0,00		0,00	0,00		0,00		0,00	
-----------------------------------------------------------------------------------------------------   	
Mean	0,44	0,00	0,01	0,00	0,02	0,07	0,39	0,01	0,01	0,15	0,38	0,00	
-----------------------------------------------------------------------------------------------------   	
Yearly Mean =	0,12												
